id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
24yaR0CyO2oRISmeL2AvVj,Karma Police - Remastered,Radiohead,0.0397,0.389,0.577,261427,5.23e-05,7,0.107,-7.578,1,0.0276,74.551,4,0.367,4.357116666666666
74aIVANB0WtuaszMD8wvNl,На рекорд,s3xtape,0.0389,0.846,0.776,181936,0.0,11,0.0629,-4.958,0,0.212,123.954,4,0.53,3.0322666666666667
0yJF3zE5pxzNoK9kZl5Ru2,ВТОРНИК,GONE.Fludd,0.0806,0.816,0.518,112869,0.0,1,0.116,-8.532,1,0.0704,132.02,4,0.422,1.88115
6AAWFvNIXBzRZ1icffkS5K,Кома,Stevie Insane,0.504,0.677,0.631,196326,0.000359,8,0.112,-6.431,0,0.0539,115.056,4,0.25,3.2721
0usK6JIbpBPKicHvBLlXIQ,У моей мечты,Proyekt Uvechye,0.469,0.704,0.848,210573,0.0,5,0.103,-5.448,1,0.336,86.924,4,0.523,3.50955
0IW8l5L0GZetXw1FywhiqH,САХАРНЫЙ ЧЕЛОВЕК (PROD. BY SWIFTNESS2H),GONE.Fludd,0.279,0.587,0.614,165548,0.0,6,0.109,-6.791,0,0.601,122.817,4,0.598,2.759133333333333
19MzoGdb3XXpqyxW1HG4OP,Корабль дураков,Proyekt Uvechye,0.168,0.664,0.681,208379,0.0,1,0.317,-6.796,1,0.273,83.028,4,0.59,3.4729833333333335
0hQbeqsv31GOOAAnzhNasQ,Русская депрессия,Плейлист Венкова,0.077,0.698,0.459,185269,0.882,9,0.107,-9.704,0,0.0369,120.033,4,0.611,3.087816666666667
0Dkibk70FDp6t7eOZNemNQ,Una Mattina,Ludovico Einaudi,0.991,0.231,0.0297,203800,0.878,2,0.0742,-31.544,1,0.0579,131.413,4,0.07,3.3966666666666665
3weNRklVDqb4Rr5MhKBR3D,Nuvole Bianche,Ludovico Einaudi,0.961,0.191,0.0582,357707,0.89,8,0.0941,-25.398,1,0.0578,132.614,1,0.0454,5.961783333333333
7xIdCBgecZzyymN5Dv95O8,По шанхайским подвалам,Твин Пикс,0.129,0.508,0.862,182532,0.00473,2,0.149,-4.792,0,0.0377,77.016,4,0.57,3.0422
19GMQ1VUE3icqLNOKQAKA1,Электрический ток,Увула,0.00336,0.378,0.851,214382,0.931,11,0.0822,-3.868,0,0.0574,109.238,4,0.232,3.5730333333333335
7ba2nkBq5RycoVkVQkpZ6Q,Старое кино,Перемотка,0.197,0.474,0.886,251557,0.0407,7,0.0688,-3.795,1,0.0609,186.979,4,0.718,4.192616666666667
1hfISzdAwnywAKxaSpfloo,Положение,Skryptonite,0.542,0.58,0.539,282621,0.000292,1,0.146,-8.893,0,0.322,62.922,4,0.243,4.71035
2vak91y1VICVF2VTH8KZl8,Минус 40,Mnogoznaal,0.0998,0.743,0.904,154951,0.0132,11,0.141,-4.441,0,0.0544,128.009,4,0.593,2.582516666666667
1gjTkbF9j4ERY0bm7H6Q0r,магия,maslo chernogo tmina,0.814,0.732,0.471,111000,2.13e-05,10,0.115,-10.004,0,0.339,79.801,4,0.526,1.85
03Lqm21kvdG9BdX4TXUMLa,Лучше,BOOKER,0.236,0.576,0.658,183978,1.92e-05,8,0.108,-9.171,0,0.0318,120.092,4,0.255,3.0663
6l4BbBXArIItRW8W7g78lX,Лоботомия,Loqiemean,0.553,0.749,0.86,206452,0.00226,9,0.279,-5.372,0,0.0606,92.973,4,0.688,3.4408666666666665
2YpjoEkXlkT5TBM2T7Hzkh,The Moment,Kenny G,0.64,0.265,0.31,361467,0.00349,10,0.185,-12.247,1,0.0359,181.174,4,0.194,6.02445
03RS5t6vNp1mw3zdGYCgwb,Don't Be So Serious,Low Roar,0.209,0.557,0.566,373318,0.42,9,0.112,-12.563,0,0.0424,129.987,4,0.117,6.221966666666667
3zYufmyv6HOuiHn1eMR6Ja,Desert Rose,Sting,0.011,0.586,0.659,285960,0.0,0,0.106,-7.92,0,0.0304,111.989,4,0.147,4.766
0I1DJdLt9BKOb7GWmWxCjo,Fields Of Gold,Sting,0.372,0.651,0.339,222120,0.0141,2,0.0739,-11.917,1,0.0246,103.996,4,0.32,3.702
4KFM3A5QF2IMcc6nHsu3Wp,Englishman In New York,Sting,0.396,0.674,0.347,267267,1.05e-05,9,0.0916,-17.707,1,0.0364,102.013,4,0.647,4.45445
6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,Sting,0.691,0.537,0.373,279227,0.000915,6,0.083,-10.081,0,0.0331,83.936,4,0.244,4.653783333333333
31yx0tNcuafs1yrAqD8cXK,Молитва,Meyti,0.0457,0.772,0.75,214000,0.0,10,0.172,-4.894,0,0.198,120.037,4,0.291,3.566666666666667
2pOzBkRKaGexVmdtT5E5Tu,Почитай старших,Noize MC,0.168,0.705,0.847,201800,0.0,1,0.0885,-5.236,1,0.274,150.125,4,0.476,3.3633333333333333
0mkLYmZGLFSQPTPUUYkcnf,Дорогое развлечение,Куок,0.0871,0.615,0.719,163765,0.0239,8,0.131,-7.289,1,0.0465,84.999,4,0.161,2.729416666666667
2XcS6yAntFjv5FqxLqPSZo,Pale Yellow,Woodkid,0.281,0.53,0.433,250040,0.00746,4,0.116,-10.494,0,0.0482,120.944,4,0.0587,4.167333333333334
