id,playlist_id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
1nocRtwyNPVtGcIJqfgdzZ,7ya2coaZFbx4Q6Y0MHv0x8,Tutu,Camilo,0.273,0.731,0.832,178613.0,0.0,9.0,0.0665,-2.592,1.0,0.0503,146.013,4.0,0.94,2.9768833333333333
5w9c2J52mkdntKOmRLeM2m,7ya2coaZFbx4Q6Y0MHv0x8,Con Calma,Daddy Yankee,0.11,0.737,0.86,193227.0,1.94e-06,8.0,0.0574,-2.652,0.0,0.0593,93.989,4.0,0.656,3.22045
6U2NuJILEOEpW2tVCuqKHb,7ya2coaZFbx4Q6Y0MHv0x8,Dura - Remix,Daddy Yankee,0.188,0.772,0.803,242160.0,0.0,1.0,0.434,-3.035,1.0,0.0468,94.981,4.0,0.853,4.036
7k4t7uLgtOxPwTpFmtJNTY,7ya2coaZFbx4Q6Y0MHv0x8,Tusa,KAROL G,0.295,0.803,0.715,200960.0,0.000134,2.0,0.0574,-3.28,1.0,0.298,101.085,4.0,0.574,3.3493333333333335
5CtI0qwDJkDQGwXD1H1cLb,7ya2coaZFbx4Q6Y0MHv0x8,Despacito - Remix,Luis Fonsi,0.229,0.694,0.815,228827.0,0.0,2.0,0.0924,-4.328,1.0,0.12,88.931,4.0,0.813,3.8137833333333333
2cYnZNzFRFK0H7vSNxPsUq,7ya2coaZFbx4Q6Y0MHv0x8,Ella Quiere Beber - Remix,Anuel AA,0.265,0.751,0.665,219357.0,0.0,8.0,0.0515,-3.083,1.0,0.124,95.239,4.0,0.698,3.65595
0s5DNDV6LAKn2u2Ufa3VjQ,7ya2coaZFbx4Q6Y0MHv0x8,Desconocidos,Mau y Ricky,0.146,0.709,0.771,204453.0,3.29e-06,7.0,0.249,-4.598,1.0,0.166,174.006,4.0,0.709,3.40755
3whrwq4DtvucphBPUogRuJ,7ya2coaZFbx4Q6Y0MHv0x8,Havana - Remix,Camila Cabello,0.398,0.751,0.579,199095.0,2.28e-05,2.0,0.133,-4.036,1.0,0.0321,105.031,4.0,0.349,3.31825
7DhYjNLksXZhbRQeheAums,7ya2coaZFbx4Q6Y0MHv0x8,Caraluna,Bacilos,0.176,0.76,0.773,266160.0,0.0,9.0,0.1,-5.314,1.0,0.0675,102.789,4.0,0.895,4.436
6osaMSJh9NguagEDQcZaKx,7ya2coaZFbx4Q6Y0MHv0x8,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,0.278,0.694,0.758,185195.0,1.34e-06,11.0,0.102,-2.986,1.0,0.218,192.091,4.0,0.371,3.0865833333333335
2ijef6ni2amuunRoKTlgww,7ya2coaZFbx4Q6Y0MHv0x8,Sin Pijama,Becky G,0.354,0.791,0.745,188560.0,2.93e-05,11.0,0.104,-3.695,0.0,0.0464,94.014,4.0,0.82,3.1426666666666665
2ksOAxtIxY8yElEWw8RhgK,7ya2coaZFbx4Q6Y0MHv0x8,China,Anuel AA,0.0846,0.786,0.808,301714.0,0.000289,7.0,0.0822,-3.702,1.0,0.0882,105.027,4.0,0.609,5.028566666666666
5fSDXbY8o9pA3TKwAbfwML,7ya2coaZFbx4Q6Y0MHv0x8,Mi primer millon,Bacilos,0.201,0.745,0.924,237387.0,5.01e-05,5.0,0.121,-3.898,1.0,0.0355,103.033,4.0,0.909,3.95645
